OrderID,PurchaseDate,CustomerType,Region,ProductColor,ProcessingDays,PaymentMethod,LoyaltyMember,StoreBranch,EmployeeName
ORD100180,2023-06-27,individual,East,Red,11,Cash,No,A,Jordan
ORD100181,2023-12-19,Individual,N,Black,4,Paypal,No,A,Jordan
ORD100182,2023-10-11,CORPORATE,West,Blue,16,Cash,No,A,Taylor
ORD100183,2023-08-01,corporate,South,White,12,Cash,Yes,D,Taylor
ORD100184,2023-11-11,individual,West,Black,14,Cash,No,A,Jordan
ORD100185,2023-01-26,Corporate,North,White,18,Cash,No,B,Jordan
ORD100186,2023-12-09,corporate,East,Yellow,8,CreditCard,No,A,Jordan
ORD100187,2023-02-07,Corporate,East,Red,16,Paypal,Yes,A,Jordan
ORD100188,2023-08-21,Corporate,norte,White,21,DebitCard,No,C,Casey
ORD100189,2023-01-26,individual,East,Red,3,Cash,No,A,Casey
ORD100190,2023-09-06,Individual,north,Red,9,CreditCard,No,D,Riley
ORD100191,2023-05-30,corporate,West,Black,21,Paypal,No,D,Morgan
ORD100192,2023-12-22,CORPORATE,West,Black,13,DebitCard,No,B,Riley
ORD100193,2023-01-19,Corporate,South,White,13,Paypal,No,D,Taylor
ORD100194,2023-11-19,individual,South,Blue,17,CreditCard,No,D,Alex
ORD100195,2023-04-26,individual,East,Black,18,CreditCard,No,A,Morgan
ORD100196,2023-11-03,Corporate,N,Black,6,CreditCard,Yes,B,Alex
ORD100197,2023-03-19,corporate,N,Blue,16,Cash,No,D,Alex
ORD100198,2023-06-30,corporate,norte,Red,3,CreditCard,No,B,Jamie
ORD100199,2023-02-23,corporate,West,Red,86,DebitCard,Yes,B,Avery
ORD100200,2023-10-28,Corporate,South,Red,21,Cash,No,C,Taylor
ORD100201,2023-11-14,Individual,north,,9,Paypal,Yes,C,Casey
ORD100202,2023-11-13,Individual,norte,Yellow,9,DebitCard,No,A,Morgan
ORD100203,2023-05-09,corporate,north,Black,20,Cash,No,D,Riley
ORD100204,2023-12-22,Corporate,East,,15,CreditCard,Yes,A,Taylor
ORD100205,2023-07-01,Individual,West,Red,9,Paypal,No,A,Jordan
ORD100206,2023-04-02,Individual,South,Black,21,CreditCard,Yes,B,Taylor
ORD100207,2023-11-03,Corporate,South,Green,14,DebitCard,No,B,Alex
ORD100208,2023-06-12,Individual,South,White,3,DebitCard,No,B,Casey
ORD100209,2023-02-26,Individual,West,Blue,12,Cash,No,A,Jordan
ORD100210,2023-09-10,Corporate,South,White,6,DebitCard,Yes,D,Taylor
ORD100211,2023-02-22,Corporate,East,Red,17,Paypal,Yes,A,Taylor
ORD100212,2023-03-30,Corporate,norte,Red,14,Cash,No,A,Casey
ORD100213,2023-03-31,Individual,East,Black,20,Paypal,No,A,Alex
ORD100214,2023-03-14,Corporate,West,Red,13,CreditCard,Yes,C,Riley
ORD100215,2023-09-10,Individual,East,Yellow,8,Paypal,Yes,C,Jordan
ORD100216,2023-07-18,individual,East,Green,14,Paypal,Yes,D,Alex
ORD100217,2023-05-11,corporate,South,Black,8,DebitCard,No,C,Casey
ORD100218,2023-05-08,Corporate,West,Red,15,CreditCard,No,A,Taylor
ORD100219,2023-04-23,corporate,West,Blue,16,DebitCard,Yes,C,Riley
ORD100220,2023-10-13,Corporate,South,Red,6,CreditCard,No,C,Morgan
ORD100221,2023-08-21,Corporate,South,Green,75,CreditCard,Yes,A,Morgan
ORD100222,2023-04-04,Individual,North,Blue,3,Paypal,No,D,Jamie
ORD100223,2023-03-25,individual,South,Red,16,DebitCard,No,C,Avery
ORD100224,2023-01-11,individual,West,Red,20,Paypal,No,A,Morgan
ORD100225,2023-07-04,individual,north,Blue,17,Paypal,No,A,Casey
ORD100226,2023-05-29,CORPORATE,East,Yellow,4,Paypal,No,A,Avery
ORD100227,2023-03-18,individual,East,White,16,CreditCard,No,B,Casey
ORD100228,2023-03-15,corporate,north,Blue,17,DebitCard,No,A,Casey
ORD100229,2023-02-27,Corporate,South,Yellow,6,DebitCard,Yes,C,Jordan
ORD100230,2023-07-12,corporate,East,Yellow,18,Paypal,Yes,C,Jamie
ORD100231,2023-04-01,Corporate,South,Green,14,CreditCard,No,A,Jordan
ORD100232,2023-07-12,Corporate,South,Black,17,DebitCard,No,B,Riley
ORD100233,2023-12-14,INDIVIDUAL,West,Green,15,Cash,Yes,B,Avery
ORD100234,2023-06-14,Individual,East,Green,-2,DebitCard,Yes,B,Morgan
ORD100235,2023-12-17,Corporate,East,Blue,19,Paypal,No,C,Riley
ORD100236,2023-05-14,individual,East,Yellow,11,Cash,Yes,B,Avery
ORD100237,2023-10-30,Individual,East,Yellow,16,CreditCard,No,D,Avery
ORD100238,2023-11-27,Corporate,norte,Blue,3,Cash,No,D,Morgan
ORD100239,2023-07-15,Individual,north,Red,16,Cash,No,B,Taylor
ORD100240,2023-04-09,CORPORATE,East,,3,Paypal,No,D,Jordan
ORD100241,2023-04-10,CORPORATE,West,Green,14,DebitCard,No,A,Alex
ORD100242,2023-01-01,CORPORATE,South,Green,19,CreditCard,No,B,Riley
ORD100243,2023-12-21,individual,West,White,13,Cash,Yes,B,Taylor
ORD100244,2023-10-04,Individual,South,Black,21,Paypal,No,B,Jordan
ORD100245,2023-04-11,CORPORATE,West,Yellow,145,DebitCard,Yes,A,Avery
ORD100246,2023-04-14,INDIVIDUAL,South,Black,15,Cash,Yes,A,Casey
ORD100247,2023-05-29,CORPORATE,East,White,15,Paypal,No,B,Jamie
ORD100248,2023-05-31,CORPORATE,West,Green,21,Paypal,Yes,C,Riley
ORD100249,2023-06-04,corporate,East,Green,15,Paypal,No,C,Jordan
ORD100250,2023-08-15,individual,West,Red,110,CreditCard,Yes,D,Jamie
ORD100251,2023-01-10,individual,South,,13,DebitCard,Yes,A,Riley
ORD100252,2023-06-06,corporate,East,Yellow,16,Cash,Yes,D,Jamie
ORD100253,2023-09-15,individual,North,Blue,7,DebitCard,Yes,D,Riley
ORD100254,2023-09-23,Individual,East,White,21,DebitCard,No,B,Morgan
ORD100255,2023-09-13,Corporate,N,Green,11,Cash,No,C,Alex
ORD100256,2023-09-18,CORPORATE,East,Blue,8,DebitCard,No,D,Riley
ORD100257,2023-11-03,Corporate,north,Green,9,CreditCard,No,B,Avery
ORD100258,2023-10-25,Corporate,East,Green,3,Cash,Yes,A,Jordan
ORD100259,2023-06-19,Individual,East,White,21,Cash,No,D,Alex
ORD100260,2023-01-07,Corporate,West,Blue,20,Paypal,Yes,C,Jamie
ORD100261,2023-05-19,CORPORATE,West,Black,5,DebitCard,No,A,Morgan
ORD100262,2023-08-26,Individual,norte,Yellow,3,Cash,No,B,Riley
ORD100263,2023-01-11,Corporate,South,Blue,7,Cash,No,A,Alex
ORD100264,2023-03-27,corporate,East,,205,CreditCard,No,D,Taylor
ORD100265,2023-01-06,corporate,South,Green,10,Paypal,No,A,Jamie
ORD100266,2023-07-11,Corporate,East,Red,20,Cash,No,A,Taylor
ORD100267,2023-11-11,Corporate,West,Green,15,CreditCard,No,A,Casey
ORD100268,2023-12-16,individual,West,White,4,Cash,Yes,C,Alex
ORD100269,2023-07-13,individual,South,Red,7,Cash,No,D,Alex
ORD100270,2023-09-17,corporate,South,Blue,21,Cash,No,B,Alex
ORD100271,2023-12-17,corporate,West,Blue,6,CreditCard,No,C,Casey
ORD100272,2023-06-28,corporate,norte,Red,6,DebitCard,Yes,D,Avery
ORD100273,2023-02-06,CORPORATE,West,Black,12,Cash,No,B,Jordan
ORD100274,2023-11-10,Corporate,South,Green,8,Cash,No,B,Jamie
ORD100275,2023-06-10,Corporate,South,Red,18,DebitCard,No,B,Jamie
ORD100276,2023-04-08,corporate,norte,Blue,9,Cash,Yes,D,Riley
ORD100277,2023-12-16,Corporate,South,Red,18,Paypal,No,B,Riley
ORD100278,2023-08-18,Corporate,West,White,16,Cash,No,B,Riley
ORD100279,2023-09-12,corporate,South,Red,5,Paypal,No,C,Jamie
ORD100280,2023-05-12,corporate,norte,,16,DebitCard,No,B,Jordan
ORD100281,2023-11-16,individual,norte,Green,13,CreditCard,No,A,Avery
ORD100282,2023-12-26,individual,N,Blue,17,DebitCard,Yes,C,Alex
ORD100283,2023-04-04,Individual,East,White,8,Cash,Yes,C,Alex
ORD100284,2023-07-23,Corporate,West,Green,8,Paypal,No,D,Casey
ORD100285,2023-08-07,Individual,West,Black,4,CreditCard,No,B,Taylor
ORD100286,2023-11-21,INDIVIDUAL,norte,,13,Cash,Yes,A,Jordan
ORD100287,2023-12-03,Corporate,North,Blue,269,CreditCard,No,A,Morgan
ORD100288,2023-04-18,individual,South,Blue,24,CreditCard,No,B,Jordan
ORD100289,2023-03-23,Corporate,West,Black,11,Cash,No,B,Casey
ORD100290,2023-11-03,Individual,North,Red,9,DebitCard,Yes,D,Avery
ORD100291,2023-06-12,Individual,South,Blue,20,Cash,Yes,A,Taylor
ORD100292,2023-08-01,corporate,North,Blue,19,Cash,No,C,Taylor
ORD100293,2023-04-30,individual,East,Blue,9,DebitCard,No,D,Riley
ORD100294,2023-05-18,Individual,South,Black,6,Paypal,No,D,Riley
ORD100295,2023-04-05,Corporate,north,Blue,3,Cash,No,C,Taylor
ORD100296,2023-08-20,corporate,East,Green,10,CreditCard,No,D,Alex
ORD100297,2023-09-12,Individual,East,Yellow,7,Cash,No,B,Morgan
ORD100298,2023-08-31,Corporate,West,Green,18,Cash,No,C,Taylor
ORD100299,2023-06-13,Individual,East,Blue,5,CreditCard,No,C,Jamie
ORD100300,2023-03-29,Individual,South,Black,20,DebitCard,No,A,Alex
ORD100301,2023-03-23,Corporate,East,Blue,17,Paypal,Yes,C,Avery
ORD100302,2023-07-03,Corporate,East,Black,18,Paypal,No,D,Avery
ORD100303,2023-10-18,Corporate,West,White,15,CreditCard,Yes,A,Morgan
ORD100304,2023-03-20,Corporate,West,Green,11,DebitCard,No,D,Jamie
ORD100305,2023-01-09,CORPORATE,South,Green,11,Cash,No,B,Morgan
ORD100306,2023-08-03,Corporate,north,Green,6,Cash,Yes,B,Casey
ORD100307,2023-02-11,individual,N,Red,21,Cash,No,A,Morgan
ORD100308,2023-07-24,corporate,South,White,9,Cash,No,A,Jamie
ORD100309,2023-06-28,individual,South,White,18,Cash,No,D,Jordan
ORD100310,2023-10-05,INDIVIDUAL,West,Red,17,CreditCard,Yes,B,Morgan
ORD100311,2023-02-12,Individual,South,Yellow,11,Cash,No,A,Jordan
ORD100312,2023-03-14,Individual,South,White,6,Cash,Yes,B,Morgan
ORD100313,2023-11-06,CORPORATE,East,,16,DebitCard,Yes,B,Casey
ORD100314,2023-03-10,corporate,West,Green,14,Cash,Yes,B,Jamie
ORD100315,2023-01-15,Corporate,N,Green,5,Paypal,Yes,D,Morgan
ORD100316,2023-12-01,INDIVIDUAL,West,Red,4,CreditCard,No,D,Taylor
ORD100317,2023-07-08,Individual,West,White,11,CreditCard,No,B,Casey
ORD100318,2023-10-21,Individual,N,Blue,12,CreditCard,No,B,Taylor
ORD100319,2023-03-22,individual,South,Yellow,19,Paypal,No,B,Avery
ORD100320,2023-03-19,Corporate,West,Red,3,Cash,Yes,C,Avery
ORD100321,2023-10-31,Corporate,South,Red,13,CreditCard,No,C,Casey
ORD100322,2023-05-27,Corporate,West,Green,8,Paypal,Yes,D,Casey
ORD100323,2023-03-01,individual,East,,5,DebitCard,No,B,Riley
ORD100324,2023-02-06,CORPORATE,norte,Blue,14,Cash,No,C,Morgan
ORD100325,2023-06-15,Corporate,norte,Yellow,13,Paypal,Yes,A,Jamie
ORD100326,2023-07-30,Corporate,South,Blue,13,Cash,No,A,Riley
ORD100327,2023-04-22,Corporate,East,Blue,13,DebitCard,Yes,B,Jamie
ORD100328,2023-01-22,INDIVIDUAL,West,Green,21,Paypal,No,C,Alex
ORD100329,2023-03-19,individual,north,Green,10,Cash,Yes,A,Jamie
ORD100330,2023-10-30,individual,West,Red,15,Paypal,No,D,Jordan
ORD100331,2023-06-12,corporate,South,Red,9,CreditCard,Yes,A,Morgan
ORD100332,2023-06-11,Individual,West,Blue,6,Cash,No,D,Taylor
ORD100333,2023-12-07,Individual,South,Red,5,Paypal,No,A,Jamie
ORD100334,2023-12-25,Individual,East,,16,CreditCard,Yes,A,Taylor
ORD100335,2023-10-25,Individual,norte,White,16,DebitCard,No,C,Alex
ORD100336,2023-07-25,corporate,East,Red,13,Cash,No,A,Morgan
ORD100337,2023-04-30,Corporate,South,Yellow,4,Cash,No,A,Jamie
ORD100338,2023-08-12,INDIVIDUAL,West,White,18,DebitCard,Yes,D,Riley
ORD100339,2023-05-06,Individual,East,Blue,11,CreditCard,Yes,D,Taylor
ORD100340,2023-08-26,INDIVIDUAL,West,Black,6,DebitCard,No,A,Riley
ORD100341,2023-12-09,INDIVIDUAL,West,White,13,Cash,No,B,Casey
ORD100342,2023-03-20,Individual,West,Blue,10,Paypal,No,A,Riley
ORD100343,2023-11-27,INDIVIDUAL,South,Blue,12,CreditCard,Yes,A,Jamie
ORD100344,2023-07-29,individual,South,,21,CreditCard,No,C,Alex
ORD100345,2023-03-30,Corporate,West,Green,258,CreditCard,Yes,A,Riley
ORD100346,2023-11-15,Corporate,West,Blue,15,DebitCard,No,A,Casey
ORD100347,2023-06-01,Individual,East,Red,20,DebitCard,No,D,Taylor
ORD100348,2023-12-07,individual,north,Green,4,Paypal,Yes,D,Taylor
ORD100349,2023-04-03,Corporate,South,Yellow,3,Paypal,No,D,Morgan
ORD100350,2023-01-22,Corporate,South,Black,6,CreditCard,Yes,D,Riley
